ProjectID,ProjectTitle,ProjectBudget,ProjectLocation,ProjectImplementor,ProjectTheme,ProjectAdoptionDate,ProjectStartDate,ProjectEndDate,ProjectLinks,Comments,multiple countries?,DE implementing?,Region
T05-EUTF-SAH-NE-10,Projet intégré d'appui à la résilience des populations vulnérables réfugiées déplacées retournées et hôtes de la région de Diffa Niger,10000000,Niger,"Agence d'Aide à la Coopération Technique et au Développement, Concern Worldwide, Welthungerhilfe, IMPACT Initiatives",Strengthening resilience,2017-12-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6685/document/T05-EUTF-SAH-NE-10_Resilience%20Diffa_20171205_VF.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-NE-11,Création d'emplois et d'opportunités économiques à travers une gestion durable de l’environnement dans les zones de transit et départ au Niger,30000000,Niger,"SNV Netherlands Development Organisation, ENABEL - Belgian Development Agency, MAECI DGCS - Ministero degli Affari Esteri e della Cooperazione Internazionale",Greater economic and employment opportunities,2017-12-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6686/document/T05-EUTF-SAH-NE-11-developpement%20eco%20local.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-12,Stabilisation et renforcement socio-économique des populations affectées par la migration irrégulière dans les zones de transit au Niger,7600000,Niger,Haute Autorité à la Consolidation de la Paix - HACP,Strengthening resilience,2018-11-19,,2018-11-19,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7512/document/T05-EUTF-SAH-NE-12.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-13,Promotion de l'emploi pour le renforcement de la résilience économique des communautés dans la région de Tillabéry,8000000,Niger,GIZ,Greater economic and employment opportunities,2021-01-01,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9249/document/DEC_-_T05-EUTF-SAH-NE-13_.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-NE-14,Résilience agro-sylvo-pastorale Ouest Niger,7000000,Niger,"Wild African Conservation, ENABEL - Belgian Development Agency","Strengthening resilience, Improved governance and conflict prevention",2020-06-19,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9367/document/DEC_-__T05-EUTF-SAH-NE-14_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-16,Soutien à la création d’un escadron polyvalent de la Garde Nationale du Niger (EP-GNN),4500000,Niger,COGINTA,Improved governance and conflict prevention,2020-10-09,2020-12-01,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9369/document/DEC_-_T05-EUTF-SAH-NE-16_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-01,Linking Relief Rehabilitation and Development and promoting the stability and safety of communities in displacement in North East Nigeria,11623000,Nigeria,"Norwegian Refugee Council, Danish Refugee Council, International Rescue Committee",Strengthening resilience,2017-02-01,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5644/document/T05-EUTF-SAH-NG-01-02%20Monthly%20Update%20-%20September%202018%20-%20IRC.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5644/document/T05-EUTF-SAH-NG-01.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-02,Investing in the Safety and Integrity of Nigerian Girls (I-SING),3500633,Nigeria,Mercy Corps,Strengthening resilience,,2016-09-01,2019-09-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5357/document/T05-EUTF-SAH-NG-02.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-03,Enhancing state and community level conflict management capability in North Eastern Nigeria,21000000,Nigeria,British Council,Improved governance and conflict prevention,2017-03-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5645/document/T05-EUTF-SAH-NG-03.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-04,Strengthening the management and governance of migration and the sustainable reintegration of returning migrants in Nigeria,15500000,Nigeria,International Organization for Migration,Improved migration management,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5632/document/T05-EUTF-SAH-NG-04%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-06,Strengthening Psychosocial Support Mental Health Reintegration and Protection Services for children in Borno including children associated with Boko Haram,4500000,Nigeria,UNICEF,Strengthening resilience,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5614/document/T05-EUTF-SAH-NG-06%20-%20Resilience%20UNICEF.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-07,EU Support to Response Recovery and Resilience in Borno State,20000000,Nigeria,"Food and Agriculture Organization, United Nations Entity for Gender Equality and the Empowerment of Women, WORLD FOOD PROGRAMME - WFP- MOZAMBIQUE",Strengthening resilience,2017-04-28,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6346/document/T05-EUTF-SAH-NG-07-01-%20Response%20Recovery%20and%20Resilience%20in%20Borno%20State.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NG-09,EU Support to the United Nations ‘One UN Response Plan to COVID-19 in Nigeria’,50000000,Nigeria,United Nations Development Programme,Improved governance and conflict prevention,2020-04-17,2020-05-06,2022-04-16,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/One_UN_COVID-19_Response_Basket_Fund_-_Q2_Report_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/Q1_Report_One_UN_COVID-19_Response_Basket_Fund..._1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/Annex_I_T05-EUTF-SAH-NG-09.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-REG-01,Appui à la coopération régionale des pays du G5 Sahel et au Collège Sahélien de Sécurité,7200000,"Mali, Niger, Mauritanie, Burkina Faso, Tchad",Civipol,Improved governance and conflict prevention,2016-10-30,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5388/document/T05-EUTF-SAH-REG-01_-_AF_-Avenant_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5388/document/T05-EUTF-SAH-REG-01%20-%20AF%20-%20G5%20Sahel.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-03,Support to the strengthening of police information systems in the broader West Africa region,8000000,"Burkina Faso, Mali, Mauritanie, Niger, Tchad, Côte d'Ivoire, Ghana, Benin",Interpol,Improved governance and conflict prevention,2016-10-30,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5387/document/Annex_II_T05-EUTF-SAH-REG-03_gg19lKv.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5387/document/Annex_III_Addendum_n1_cKtvSYz.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-04,GAR-SI SAHEL (Groupes d’Action Rapides – Surveillance et Intervention au Sahel),66600000,"Burkina Faso, Mali, Mauritanie, Niger, Senegal, Tchad",Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,Improved governance and conflict prevention,2016-01-01,2016-03-02,2019-12-30,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5646/document/DA_final_-_T05-EUTF-SAH-REG-04_GAR-SI_Avenant_Mai_2020.docx, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5646/document/FA_finale_-_T05-EUTF-SAH-REG-04_GAR-SI_Avenant_no_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5646/document/T05-EUTF-SAH-REG-04_GAR-SI%20Sahel_Fiche%20d%27Action.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-05,RESILAC – Redressement Economique et Social Inclusif du Lac Tchad,31100000,"Tchad, Niger, Cameroun, Nigeria",Agence Française de Développement,Strengthening resilience,2017-05-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5626/document/T05-EUTF-SAH-REG-05-Avenant.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5626/document/T05-EUTF-SAH-REG-05%20-%20RESILAC.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-06,Renforcement de la résilience et de la capacité d’autonomisation des refugiés des rapatriés et des personnes déplacées internes liés au conflit du Nord Mali,20000000,"Niger, Mali, Burkina Faso, Mauritanie",United Nations High Commissioner for Refugees,Strengthening resilience,2017-05-25,2017-07-01,2020-06-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5627/document/T05-EUTF-SAH-REG-06%20-%20Resilience.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-07,Job creation and development of micro enterprises through fair trade and selected value chains,10000000,"Mali, Burkina Faso",ITC - International Trade Center,Greater economic and employment opportunities,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5628/document/T05-EUTF-SAH-REG-07%20-%20ITC.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-08,Strengthening the management and governance of migration and the sustainable reintegration of returning migrants in Côte d’Ivoire Ghana and Guinea Guinea Bissau and Chad,13930000,"Côte d'Ivoire, Ghana, Guinée, Guinea-Bissau, Tchad",International Organization for Migration,Improved migration management,,2017-05-15,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5633/document/T05-EUTF-SAH-REG-08%20-%20Migration.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-09,La voix des jeunes du Sahel,2200000,"Mauritanie, Mali, Burkina Faso, Niger, Tchad",Centre pour le dialogue humanitaire - HD,Improved governance and conflict prevention,2017-04-02,2017-04-02,2018-04-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6281/document/T05-EUTF-SAH-REG-09-%20La%20voix%20des%20jeunes%20dans%20le%20Sahel.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-10,Erasmus+ in West Africa,10000000,"Burkina Faso, Côte d'Ivoire, Mali, The Gambia, Guinée, Niger, Nigeria, Mauritanie, Senegal, Tchad, Ghana, Cameroun","Erasmus+ National Agencies, under the oversight of DG Education and Culture (EAC)",Improved migration management,2017-12-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6675/document/T05-EUTF-REG-SAH-10%20-%20Erasmus%2B%20final.pdf,implementor manually added march 14 2022,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-11,I&P Accélération au Sahel : Soutenir les entrepreneurs et les très petites et moyennes entreprises (TPME) en Afrique de l’Ouest (en appui à l’initiative IPDEV-2),15800000,"Burkina Faso, Côte d'Ivoire, Mali, Niger, Mauritanie, Senegal, Cameroun, Ghana, Benin",Investisseurs & Partenaires,Greater economic and employment opportunities,2017-12-13,2017-12-13,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6676/document/Brochure_IPAS_2020_FR.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6676/document/T05-EUTF-REG-SAH-11-_IPDEV2_-_Addendum.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6676/document/T05-EUTF-SAH-REG-11-%20IPDEV2.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-12,Appui à la Lutte contre la Traite des Personnes dans les pays du Golfe de Guinée,17400000,"Côte d'Ivoire, Nigeria, Ghana, Guinée",Expertise France,Improved migration management,2018-03-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6677/document/T05-EUTF-REG-SAH-12%20-%20Lutte%20contre%20la%20traite.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-13,Appui à la protection des migrants les plus vulnérables en Afrique de l'Ouest,20000000,"Burkina Faso, Guinée, Niger, Mali, Senegal, The Gambia, Côte d'Ivoire","Caritas Switzerland, Save the Children, RED CROSS SPAIN",Improved migration management,,2018-02-26,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6983/document/Fiche%20d%27action%20protection%20ONG_.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-14,Modernizing and strengthening secure identity chains and documental security (GESTDOC),5000000,"Guinea-Bissau, Cabo Verde",Camoes Instituto da Cooperaçao e da lingua,Improved governance and conflict prevention,,2018-05-29,2022-05-29,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7139/document/T05-EUTF-SAH-REG-14%20PDF%20camoes2.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-15,ARCHIPELAGO: an African-European TVET initiative,15000000,"Burkina Faso, Niger, Nigeria, Senegal, Côte d'Ivoire, Cameroun, Tchad, The Gambia, Ghana, Guinée, Mauritanie, Mali","Conférence Permanente des Chambres Consulaires Africaines et Francophones, The Association of European Chambers of Commerce and Industry, SEQUA gGmbH Partner of German Business",Greater economic and employment opportunities,2018-05-29,,2022-05-29,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7144/document/T05-EUTF-SAH-REG-15%20PDF%20archipelago.pdf,,TRUE,TRUE,SAH
T05-EUTF-SAH-REG-16,Protection and sustainable solutions for migrants and refugees along the Central Mediterranean route,125000000,"Burkina Faso, Senegal, Tchad, Cameroun, Côte d'Ivoire, Guinée, Mali, Mauritanie, Niger, Nigeria","International Organization for Migration, United Nations High Commissioner for Refugees",Improved migration management,2017-12-01,,2020-12-01,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7147/document/T05-EUTF-SAH-REG-16_AV2.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7147/document/T05-EUTF-SAH-REG-16%20PDF.pdf",,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-17,Monitoring and Learning System for the EUTF Sahel and Lake Chad,5000000,"Burkina Faso, Tchad, Cameroun, Ghana, Mali, Guinée, Senegal, The Gambia, Mauritanie, Côte d'Ivoire, Nigeria, Niger",Altai Consulting,,,2018-07-09,2022-07-08,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7279/document/Annex%201%20-%20T05-EUTF-SAH-REG-17%20-%20FINAL.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-18,Programme d’urgence pour la stabilisation des espaces frontaliers du G5 Sahel (PDU),144479592,"Mali, Mauritanie, Burkina Faso, Niger, Tchad","GIZ, Luxembourg Development Cooperation Agency, Centre pour le dialogue humanitaire - HD, Agence Française de Développement",Strengthening resilience,2018-11-19,,2022-11-19,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7541/document/T05-EUTF-SAH-REG-18_AV3.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7541/document/Annex%201%20-%20T05-EUTF-SAH-REG-18.pdf",,TRUE,TRUE,SAH
T05-EUTF-SAH-REG-19,La voix des jeunes du Sahel - Dialogue entre jeunes et institutions au Sahel (phase II),5000000,,Centre pour le dialogue humanitaire - HD,Improved governance and conflict prevention,2018-11-19,,2020-11-19,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7515/document/T05-EUTF-SAH-REG-19.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-REG-20,Programme d’Appui au G5 pour la Sécurité au Sahel (PAGS) Phase II,10000000,"Mauritanie, Mali, Burkina Faso, Tchad, Niger",Civipol,Improved governance and conflict prevention,2019-04-04,,2022-04-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7797/document/Final_T05-EUTF-SAH-REG-20_PAGS.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-21,EU Support to the United Nations Development Programme (UNDP) ‘Regional Stabilisation Facility for Lake Chad’ (RSF),5000000,"Nigeria, Cameroun, Tchad, Niger",United Nations Development Programme,Improved governance and conflict prevention,2019-07-12,,2022-07-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8014/document/FA_finale_-_T05-EUTF-SAH-REG-21_-_UNDP.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-22,Contribution au financement de l’Unité de Coordination de l’Alliance (UCA) Sahel,2000000,"Mauritanie, Burkina Faso, Tchad, Niger, Mali",GIZ,Improved governance and conflict prevention,2019-04-04,,2021-04-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7798/document/Final_T05-EUTF-SAH-REG-22_UCA.pdf,,TRUE,TRUE,SAH
T05-EUTF-SAH-REG-23,Appui aux forces de sécurité des pays membres du G5 Sahel pour la lutte contre l’impunité et le renforcement de leurs liens avec les populations,20000000,"Mali, Mauritanie, Niger, Burkina Faso, Tchad","Danish Institute for Human Rights, The UN Office of the High Commissioner for Human Rights",Improved governance and conflict prevention,2019-07-12,,2022-07-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7982/document/FA_finale_-_T05-EUTF-SAH-REG-23.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-24,CRIALCES - Réponse à la CRIse ALimentaire au CEntre Sahel : support nutritionnel et relèvement,21000000,,World Food Programme,Strengthening resilience,2020-07-01,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9213/document/DEC_-_T05-EUTF-SAH-REG-24_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-REG-25,Radio Jeunesse Sahel - Appui européen à la phase de démarrage de la radio,2050000,"Burkina Faso, Mali, Mauritanie, Niger, Tchad",Organisation Internationale de la Francophonie,Improved governance and conflict prevention,2020-10-09,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9396/document/DEC_-_T05-EUTF-SAH-REG-25_.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-REG-26,Contribution au financement du Secrétariat de la Coalition pour le Sahel (SCS),510000,"Burkina Faso, Mali, Mauritanie, Niger, Tchad",Expertise France,"Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2021-05-01,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9853/document/Annex_4._T05-EUTF-SAH-REG-26_DA_Soutien_UE_Coalition_Sahel.pdf,,TRUE,FALSE,SAH
T05-EUTF-SAH-SN-01,Résilience des populations les plus vulnérables face aux crises nutritionnelles et alimentaires dans les zones de départ de Podor Ranérou Matam et Kanel,8000000,Senegal,Spanish Agency for International Development Cooperation ,Strengthening resilience,2016-09-03,2016-09-03,2019-09-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5400/document/T05-EUTF-SAH-SN-01.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-02,Normalisation des conditions de vie des populations directement affectées par le conflit en Casamance,4500000,Senegal,ICRC - CICR - International Committee of the Red Cross,Strengthening resilience,,2016-02-01,2018-12-31,,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-03,Projet de renforcement de la sécurité alimentaire et nutritionnelle dans la région de Matam,1100000,Senegal,Agence d'Aide à la Coopération Technique et au Développement,Strengthening resilience,,2016-04-28,2019-04-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5385/document/T05-EUTF-SAH-SN-03.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-04,Développer l'emploi au Sénégal: renforcement de la compétitivité des entreprises et de l’employabilité dans les zones de départ,40108734,Senegal,"GRET a Solidarity and International Cooperation Association, Luxembourg Development Cooperation Agency, Agence Française de Développement, Positive Planet International",Greater economic and employment opportunities,2016-10-01,,2020-10-01,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5384/document/T05-EUTF-SAH-SN-04_Avenant.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5384/document/J10_addendum_T05-EUTF-SAH-SN-04_FFdAfIB.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-05,Projet d’Appui à la réduction de la migration à travers la Création d’Emplois Ruraux au Sénégal par la mise en place de fermes agricoles villageoises et individuelles,20000000,Senegal,"MAECI DGCS - Ministero degli Affari Esteri e della Cooperazione Internazionale, Spanish Agency for International Development Cooperation ",Greater economic and employment opportunities,2017-02-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5647/document/T05-EUTF-SAH-SN-05_-_version_2.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5647/document/T05-EUTF-SAH-SN-05.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-06,Renforcement de la gestion et de la gouvernance des migrations et le retour et la réintégration durable au Sénégal et accompagnement des investissements de la diaspora sénégalaise,27900000,Senegal,"Spanish Agency for International Development Cooperation , Agence Française de Développement, International Organization for Migration",Improved migration management,2017-06-01,,2021-05-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5634/document/T05-EUTF-SAH-SN-06%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-07,Programme d'appui au renforcement du système d’information de l’état civil et à la création d’un fichier national d’identité biométrique,28000000,Senegal,"Civipol, ENABEL - Belgian Development Agency",Improved governance and conflict prevention,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5620/document/T05-EUTF-SAH-SN-07%20Etat%20civil.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-08,Projet d'Appui à la Réduction de l'Emigration rurale et à la Réintégration dans le Bassin Arachidier par le développement d´une économie rurale sur base des périmètres irrigués – PARERBA,18000000,Senegal,ENABEL - Belgian Development Agency,Greater economic and employment opportunities,2017-07-19,2017-07-19,2022-07-18,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5621/document/T05-EUTF-SAH-SN-08%20-%20PARERBA.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-09,PASPED – Programme de contraste à la migration illégale à travers l’appui au Secteur Privé et à la création d’emplois au Sénégal,14303200,Senegal,CDP - Cassa depositi e prestiti Spa,Greater economic and employment opportunities,2017-05-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5623/document/Annex1_-_T05-EUTF-SAH-SN-09_SENEGAL_AVENANT_1_VF_FINAL.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5623/document/T05-EUTF-SAH-SN-09%20PASPED.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-SN-10,Partenariat Opérationnel Conjoint (POC) de lutte contre l’immigration irrégulière la traite et le trafic de migrants au Sénégal,9000000,Senegal,Civipol,Improved governance and conflict prevention,2018-11-19,,2022-09-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7511/document/T05-EUTF-SAH-SN-10.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-01,Résilience et Emploi au lac Tchad (RESTE),27000000,Tchad,OXFAM,Strengthening resilience,2017-03-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5648/document/T05-EUTF-SAH-TD-01.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-02,Projet de Renforcement de la Résilience et de la Cohabitation Pacifique au Tchad (PRCPT),18000000,Tchad,GIZ,Strengthening resilience,,2016-10-01,2019-10-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5382/document/T05-EUTF-SAH-TD-02.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-TD-03,Projet de soutien à l’insertion socio-professionnelle des jeunes tchadiens en situation de vulnérabilité,10300000,Tchad,Agence Française de Développement,Greater economic and employment opportunities,2017-03-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5649/document/T05-EUTF-SAH-TD-03.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-05,Appui à la formation et à la sécurité publique au Tchad,10000000,Tchad,COGINTA,Improved governance and conflict prevention,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5624/document/T05-EUTF-SAH-TD-05%20-%20Appui%20a%20la%20formation.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-06,Appui au déminage à la protection sociale et au développement des personnes vulnérables,23000000,Tchad,Humanity & Inclusion,Strengthening resilience,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5625/document/T05-EUTF-SAH-TD-06%20-%20Appui%20au%20deminage.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-07,Programme de développement inclusif dans les zones d'accueil (DIZA),15000000,Tchad,United Nations High Commissioner for Refugees,Strengthening resilience,2017-12-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6687/document/T05-EUTF-SAH-TD-07-DIZA_VF.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-TD-08,SECurité et GEstion des Frontières (SECGEF),10000000,Tchad,,Improved governance and conflict prevention,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6688/document/20171206%20T05-EUTF-SAH-TD-08_FF_appui%20budgetaire_rev_CDcmC82.pdf,implementor manually added march 14 2022,FALSE,FALSE,SAH
YEP Programmes,Tumuhaire Raymond,12000,,Netherlands Water Partnership,,,2019-09-01,,,strangely doesn't have a unified IATI ID // Old one: XI-IATI-EC_DEVCO_YEP Programmes,FALSE,FALSE,
